classification,number_standard
https://w3id.org/i40/sto#IIRASecurity,21
https://w3id.org/i40/sto#RAMIControlDevice,17
https://w3id.org/i40/sto#RAMIProduct,15
https://w3id.org/i40/sto#RAMIFieldDevice,14
https://w3id.org/i40/sto#IDSRAMCertification,11
https://w3id.org/i40/sto#IDSRAMSecurity,10
https://w3id.org/i40/sto#RAMIStation,10
https://w3id.org/i40/sto#RAMIWorkCenter,9
https://w3id.org/i40/sto#IIRAPrivacy,8
https://w3id.org/i40/rami#Engineering,8
https://w3id.org/i40/sto#RAMICommunicationlayer,8
https://w3id.org/i40/sto#RAMIEnterprise,7
https://w3id.org/i40/sto#RAMIAssetlayer,6
https://w3id.org/i40/sto#ProductionSystemModelData,6
https://w3id.org/i40/rami#Safety,6
https://w3id.org/i40/sto#ModelingPractice,5
https://w3id.org/i40/sto#RAMIIntegrationLayer,5
https://w3id.org/i40/sto#IDSRAMSystemLayer,4
https://w3id.org/i40/rami#Security,4
https://w3id.org/i40/sto#TansportLayer,4
https://w3id.org/i40/sto#ProductLifeCycleManagement,4
https://w3id.org/i40/rami#Configuration,4
https://w3id.org/i40/rami#ConditionMonitoring,4
https://w3id.org/i40/sto#DataSovereignty,4
https://w3id.org/i40/sto#CrossLevel,3
https://w3id.org/i40/rami#Identification,3
https://w3id.org/i40/sto#RAMIInformationLayer,3
https://w3id.org/i40/rami#AdminShellGeneral,3
https://w3id.org/i40/sto#Safety,3
https://w3id.org/i40/sto#RAMIBusinessLayer,3
https://w3id.org/i40/sto#RAMIFunctional,2
https://w3id.org/i40/sto#FiwareSecurity,2
https://w3id.org/i40/sto#RAMIFunctionalLayer,2
https://w3id.org/i40/sto#RAMIConnectedWorld,2
https://w3id.org/i40/sto#SCM,2
https://w3id.org/i40/sto#ProductionSystemEngineering,2
https://w3id.org/i40/rami#ControlDevice,2
https://w3id.org/i40/sto#IIRAFunctionalViewpoint,2
https://w3id.org/i40/rami#FieldDevice,2
https://w3id.org/i40/rami#WorkCenter,2
https://w3id.org/i40/sto#BusinessProcessExecution,2
https://w3id.org/i40/rami#Station,2
https://w3id.org/i40/sto#IICFFrameworkLayer,2
https://w3id.org/i40/sto#IIRAConnectivity,2
https://w3id.org/i40/sto#EnterpriseLevel,2
https://w3id.org/i40/sto#ManufacturingModelData,1
https://w3id.org/i40/sto#Security,1
https://w3id.org/i40/sto#ProductModelDataExchange,1
https://w3id.org/i40/sto#ProductCatalogData,1
https://w3id.org/i40/sto#InformationDomain,1
https://w3id.org/i40/sto#NetworkLayer,1
https://w3id.org/i40/sto#IDSRAMInteroperability,1
https://w3id.org/i40/sto#DeviceLevel,1
https://w3id.org/i40/sto#SCADALevel,1
https://w3id.org/i40/rami#Other,1
https://w3id.org/i40/rami#Lifecycle_Status,1
